Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
491 NuMu NC 0.9 -60 1.0 3
492 NuE CC 0.1 -60 1.5 3
493 NuMu NC 0.9 -60 1.5 3
494 NuE CC 0.1 -60 2.0 3
495 NuMu NC 0.9 -60 2.0 3
496 NuE CC 0.1 -60 2.5 3
497 NuMu NC 0.9 -60 2.5 3
498 NuE CC 0.1 -60 3.0 3
499 NuMu NC 0.9 -60 3.0 3
500 NuE CC 0.1 -60 3.5 3
501 NuMu NC 0.9 -60 3.5 3
502 NuE CC 0.1 -60 4.0 3
503 NuMu NC 0.9 -60 4.0 3
504 NuE CC 0.1 0 0.0 4
505 NuMu NC 0.9 0 0.0 4
506 NuE CC 0.1 0 0.5 4
507 NuMu NC 0.9 0 0.5 4
508 NuE CC 0.1 0 1.0 4
509 NuMu NC 0.9 0 1.0 4
510 NuE CC 0.1 0 1.5 4
511 NuMu NC 0.9 0 1.5 4
512 NuE CC 0.1 0 2.0 4
513 NuMu NC 0.9 0 2.0 4
514 NuE CC 0.1 0 2.5 4
515 NuMu NC 0.9 0 2.5 4
516 NuE CC 0.1 0 3.0 4
517 NuMu NC 0.9 0 3.0 4
518 NuE CC 0.1 0 3.5 4
519 NuMu NC 0.9 0 3.5 4
520 NuE CC 0.1 0 4.0 4
521 NuMu NC 0.9 0 4.0 4
522 NuE CC 0.1 -10 0.0 4
523 NuMu NC 0.9 -10 0.0 4
524 NuE CC 0.1 -10 0.5 4
525 NuMu NC 0.9 -10 0.5 4
526 NuE CC 0.1 -10 1.0 4
527 NuMu NC 0.9 -10 1.0 4
528 NuE CC 0.1 -10 1.5 4
529 NuMu NC 0.9 -10 1.5 4
530 NuE CC 0.1 -10 2.0 4
531 NuMu NC 0.9 -10 2.0 4
532 NuE CC 0.1 -10 2.5 4
533 NuMu NC 0.9 -10 2.5 4
534 NuE CC 0.1 -10 3.0 4
535 NuMu NC 0.9 -10 3.0 4
536 NuE CC 0.1 -10 3.5 4
537 NuMu NC 0.9 -10 3.5 4
538 NuE CC 0.1 -10 4.0 4
539 NuMu NC 0.9 -10 4.0 4
540 NuE CC 0.1 -20 0.0 4
541 NuMu NC 0.9 -20 0.0 4
542 NuE CC 0.1 -20 0.5 4
543 NuMu NC 0.9 -20 0.5 4
544 NuE CC 0.1 -20 1.0 4
545 NuMu NC 0.9 -20 1.0 4
546 NuE CC 0.1 -20 1.5 4
547 NuMu NC 0.9 -20 1.5 4
548 NuE CC 0.1 -20 2.0 4
549 NuMu NC 0.9 -20 2.0 4
550 NuE CC 0.1 -20 2.5 4
551 NuMu NC 0.9 -20 2.5 4
552 NuE CC 0.1 -20 3.0 4
553 NuMu NC 0.9 -20 3.0 4
554 NuE CC 0.1 -20 3.5 4
555 NuMu NC 0.9 -20 3.5 4
556 NuE CC 0.1 -20 4.0 4
557 NuMu NC 0.9 -20 4.0 4
558 NuE CC 0.1 -30 0.0 4
559 NuMu NC 0.9 -30 0.0 4
560 NuE CC 0.1 -30 0.5 4
561 NuMu NC 0.9 -30 0.5 4
